participant_id,song_no,song_id,valence_rating,valence,arousal_rating,arousal,play_duration
hku1917,13,377456,6.5,positive,-5.5,negative,46
hku1917,35,402053,1.7,positive,-7.4,negative,58
hku1917,16,1165401,7.2,positive,-3.7,negative,54
hku1917,6,1067335,-5.5,negative,2.8,positive,32
hku1917,37,950933,7,positive,-5.8,negative,37
hku1917,17,379762,5.6,positive,-3.7,negative,46
hku1917,29,1223252,-3.1,negative,3.4,positive,32
hku1917,7,1107251,6.7,positive,3.6,positive,73
hku1917,27,1222618,-1.9,negative,1.6,positive,42
hku1917,18,552655,8.2,positive,-4.1,negative,56
hku1917,24,117500,-0.6,negative,-1.2,negative,33
hku1917,31,387501,6.1,positive,-4,negative,35
hku1917,38,170946,7.6,positive,1.8,positive,47
hku1917,0,744852,8.2,positive,-3.7,negative,55
hku1917,32,48979,7.9,positive,-6.7,negative,38
hku1917,8,415083,0.3,positive,3.6,positive,33
hku1917,23,1075892,7,positive,5.2,positive,34
hku1917,5,477306,8.6,positive,-6.8,negative,56
hku1917,10,1084434,5,positive,6.2,positive,34
hku1917,21,1077690,0.1,positive,1.8,positive,27
hku1917,12,402053,8.4,positive,-5.1,negative,34
hku1917,20,945192,6.9,positive,2.5,positive,37
hku1917,33,18236,5.1,positive,-6.8,negative,34
hku1917,39,1133532,9.1,positive,-7.8,negative,62
hku1910,23,1085412,-7,negative,-2.4,negative,65
hku1910,13,387511,-5.9,negative,-3.8,negative,45
hku1910,0,1165640,0,neutral,0,neutral,80
hku1910,25,42202,7,positive,1.1,positive,33
hku1910,16,1106477,4.1,positive,3.8,positive,41
hku1910,4,1071844,1.1,positive,0.7,positive,111
hku1910,2,370260,7,positive,0.6,positive,53
hku1910,21,1107409,1.4,positive,-0.1,negative,49
hku1910,24,1086405,4.2,positive,1,positive,145
hku1910,15,324617,7.1,positive,2.1,positive,38
hku1910,7,272364,5.8,positive,-7.9,negative,46
hku1910,18,1032796,-3.8,negative,-4.8,negative,36
hku1910,5,1212588,-1,negative,-2,negative,63
hku1910,20,1165640,0.1,positive,-5.6,negative,33
hku1910,22,170946,8.5,positive,1.8,positive,48
hku1910,9,88554,4.9,positive,2.5,positive,35
hku1910,8,270069,5.1,positive,-6.3,negative,182
hku1910,1,150394,7.1,positive,0.8,positive,68
hku1910,28,1212588,-0.2,negative,-3.9,negative,40
hku1910,17,90954,-7.4,negative,-2.3,negative,31
hku1910,11,275229,2.3,positive,-7.1,negative,70
hku1910,12,1215266,7.3,positive,-3.7,negative,40
hku1910,6,1099620,3.8,positive,-7.3,negative,54
hku1910,10,272364,3,positive,-3.3,negative,38
hku1910,27,1000086,7.5,positive,0.1,positive,32
hku1910,19,698137,2.1,positive,5,positive,38
hku1910,14,429383,2.1,positive,1.4,positive,45
hku1910,3,301358,8.4,positive,1.4,positive,97
hku1910,26,42205,5.7,positive,0.4,positive,47
hku1911,24,1119024,-1.8,negative,2.8,positive,72
hku1911,13,1204397,1.8,positive,-0.8,negative,81
hku1911,14,1078438,1.4,positive,2.9,positive,41
hku1911,12,1116425,-1.9,negative,-3.9,negative,41
hku1911,6,476810,8.8,positive,9,positive,137
hku1911,23,1165640,-8.7,negative,-9,negative,34
hku1911,0,1088645,-0.1,negative,-1.1,negative,77
hku1911,8,84030,5.2,positive,-0.5,negative,79
hku1911,11,945192,0.4,positive,8.3,positive,47
hku1911,25,184592,9.9,positive,-3.2,negative,39
hku1911,1,1107251,6.8,positive,6.5,positive,153
hku1911,20,1215268,9.3,positive,-8.6,negative,38
hku1911,22,1119018,9,positive,9.4,positive,110
hku1911,4,379762,-1.9,negative,-1.6,negative,34
hku1911,21,1099501,8.2,positive,9,positive,57
hku1911,5,966190,1,positive,0.6,positive,67
hku1911,17,1094515,-6.2,negative,7,positive,43
hku1911,3,945192,3.3,positive,4.6,positive,50
hku1911,16,247818,-1.9,negative,1.4,positive,74
hku1911,9,1221997,9.3,positive,1.8,positive,123
hku1911,15,1195639,5.4,positive,0.2,positive,39
hku1911,10,1077690,3.4,positive,8.2,positive,50
hku1911,7,108750,-5.5,negative,-5.5,negative,49
hku1911,2,843705,0.7,positive,-0.9,negative,88
hku1911,19,84030,0,neutral,2.2,positive,58
hku1911,18,1078430,9.1,positive,-0.7,negative,40
hku1929,18,703613,5.9,positive,7,positive,77
hku1929,19,388281,-3.2,negative,4.9,positive,32
hku1929,1,1212782,-4.2,negative,5.8,positive,149
hku1929,11,1210841,5.7,positive,6.2,positive,70
hku1929,16,1155003,-0.8,negative,6.2,positive,63
hku1929,23,423114,5.3,positive,3.9,positive,46
hku1929,0,967756,-6.8,negative,-7.5,negative,100
hku1929,7,1119024,5.1,positive,6,positive,44
hku1929,6,477311,3.9,positive,-5.4,negative,57
hku1929,10,423119,8.6,positive,1,positive,126
hku1929,2,1213843,2.2,positive,1.8,positive,97
hku1929,22,26436,9.2,positive,1.6,positive,65
hku1929,17,116900,-5,negative,1.5,positive,39
hku1929,14,1056172,5.8,positive,2.6,positive,50
hku1929,15,213500,3.1,positive,8.3,positive,60
hku1929,24,47402,6.6,positive,6.1,positive,43
hku1929,4,461018,5.4,positive,-3.8,negative,105
hku1929,8,552655,4.4,positive,-5.4,negative,52
hku1929,5,1107251,-1.7,negative,6.6,positive,32
hku1929,21,26430,7.2,positive,2.3,positive,38
hku1929,3,127609,-3.3,negative,5,positive,64
hku1929,20,49019,-1,negative,8.2,positive,32
hku1929,12,905173,7,positive,7.7,positive,68
hku1929,9,402053,4.1,positive,-3,negative,73
hku1929,13,925790,3.5,positive,6,positive,43
hku1916,2,1245069,0,neutral,0,neutral,65
hku1916,0,25383,0,neutral,-0.2,negative,64
hku1916,11,1215268,0,neutral,0,neutral,45
hku1916,1,1119020,0,neutral,0,neutral,51
hku1916,13,262059,0,neutral,0,neutral,48
hku1916,5,1069380,-6.8,negative,0,neutral,57
hku1916,8,26430,0,neutral,0,neutral,50
hku1916,3,387400,0,neutral,0,neutral,59
hku1916,14,585838,0,neutral,-0.2,negative,33
hku1916,9,1000113,0,neutral,0,neutral,58
hku1916,4,950932,5.2,positive,0,neutral,51
hku1916,6,983415,7.9,positive,0,neutral,96
hku1916,10,1000086,0,neutral,0,neutral,124
hku1916,15,26436,0,neutral,9.5,positive,48
hku1916,12,524653,0,neutral,0,neutral,56
hku1916,7,698137,0,neutral,0,neutral,63
hku1920,11,1101049,1.2,positive,1.7,positive,46
hku1920,30,950932,3.7,positive,-3,negative,43
hku1920,10,1069411,2.2,positive,1.9,positive,71
hku1920,22,133759,6.2,positive,5,positive,93
hku1920,14,1077690,6,positive,5.1,positive,53
hku1920,21,12305,3,positive,5.8,positive,55
hku1920,3,703613,3,positive,6.2,positive,34
hku1920,15,1156086,6.3,positive,1.4,positive,54
hku1920,4,225620,3.7,positive,2.3,positive,37
hku1920,25,477306,6.6,positive,1.6,positive,45
hku1920,16,1213843,7.5,positive,5.4,positive,98
hku1920,26,387501,5.4,positive,2.6,positive,48
hku1920,23,243432,3,positive,-1,negative,55
hku1920,13,261634,1.7,positive,4.5,positive,48
hku1920,7,117598,7.6,positive,6.3,positive,38
hku1920,2,34856,1.4,positive,0.9,positive,53
hku1920,28,25385,3.3,positive,-1.4,negative,45
hku1920,8,662471,6.3,positive,1.9,positive,47
hku1920,19,476810,5,positive,2.4,positive,49
hku1920,29,80617,-2.1,negative,2.3,positive,34
hku1920,18,1133532,1,positive,-2.1,negative,52
hku1920,27,26434,3.1,positive,2.2,positive,56
hku1920,1,1203033,3.3,positive,1,positive,67
hku1920,20,537852,4.5,positive,1,positive,58
hku1920,17,262059,7.4,positive,6.9,positive,72
hku1920,24,25385,4.5,positive,-1.7,negative,40
hku1920,9,1101045,7,positive,8,positive,45
hku1920,0,672202,7.2,positive,2.4,positive,39
hku1920,12,1003620,1.8,positive,1.4,positive,42
hku1920,5,1193297,1.4,positive,3.3,positive,50
hku1920,6,1119687,6,positive,2.5,positive,32
hku1918,27,12306,4.8,positive,2,positive,38
hku1918,5,48979,7,positive,-2.9,negative,58
hku1918,8,48978,-7.6,negative,7,positive,61
hku1918,16,76947,-1.9,negative,3,positive,52
hku1918,15,1108983,1.4,positive,1,positive,45
hku1918,26,73987,1.9,positive,5.8,positive,32
hku1918,19,1181542,-3.3,negative,3.8,positive,104
hku1918,22,1189608,0.9,positive,1.8,positive,34
hku1918,23,1192283,1.3,positive,3,positive,32
hku1918,9,18233,3.5,positive,-5.7,negative,49
hku1918,3,49019,-5.7,negative,6.8,positive,64
hku1918,11,33826,6,positive,3.5,positive,34
hku1918,0,1220722,-2.2,negative,3.6,positive,59
hku1918,14,18243,-1,negative,3.2,positive,35
hku1918,10,1215268,1.5,positive,-1.4,negative,91
hku1918,6,405924,3.9,positive,-3.9,negative,74
hku1918,13,18232,1.5,positive,-5.8,negative,43
hku1918,24,843896,-3.2,negative,4.7,positive,41
hku1918,20,519565,1.7,positive,5.4,positive,56
hku1918,4,1124800,6.8,positive,6.7,positive,128
hku1918,2,240147,1,positive,4.9,positive,65
hku1918,17,989414,1.1,positive,-7.5,negative,39
hku1918,1,415106,2.2,positive,1.7,positive,61
hku1918,18,372163,-3.6,negative,3,positive,53
hku1918,25,1213843,0,neutral,3.7,positive,34
hku1918,12,18236,1.5,positive,-1.8,negative,36
hku1918,7,399197,1.6,positive,-1.8,negative,60
hku1918,21,1189615,6,positive,7.8,positive,48
hku1927,16,3595,-1.7,negative,1.8,positive,36
hku1927,14,1189615,7.1,positive,7.8,positive,40
hku1927,13,461018,-4.7,negative,-2.2,negative,40
hku1927,3,379762,1.3,positive,5.4,positive,81
hku1927,20,605777,0.4,positive,3,positive,96
hku1927,23,79684,-1,negative,1.8,positive,52
hku1927,5,8565,2.4,positive,2.1,positive,58
hku1927,12,585838,-7.4,negative,-3.1,negative,57
hku1927,4,1119024,0.2,positive,4.9,positive,39
hku1927,19,31431,0.2,positive,7.4,positive,36
hku1927,22,1215510,-1.9,negative,-1.7,negative,52
hku1927,2,48979,3.7,positive,3,positive,72
hku1927,9,1069380,0.2,positive,6.6,positive,33
hku1927,17,73993,2,positive,1.7,positive,32
hku1927,8,29862,5.7,positive,0,neutral,45
hku1927,6,114773,0.1,positive,-1.8,negative,50
hku1927,21,440863,1.4,positive,6.1,positive,217
hku1927,0,226749,-6.7,negative,2.8,positive,68
hku1927,11,709613,5.1,positive,1.4,positive,46
hku1927,18,784832,6.2,positive,7.8,positive,74
hku1927,24,1179446,7,positive,3.6,positive,130
hku1927,15,946417,7,positive,7.8,positive,36
hku1927,7,1196479,-8.7,negative,1.7,positive,32
hku1927,1,402053,-0.5,negative,-0.8,negative,51
hku1927,10,983415,1.5,positive,4.9,positive,38
hku1905,27,430265,-0.2,negative,-0.4,negative,32
hku1905,24,3446,-4.2,negative,0,neutral,32
hku1905,4,440863,7,positive,8.3,positive,33
hku1905,17,552655,8.2,positive,-0.8,negative,43
hku1905,25,894470,8.5,positive,-0.3,negative,36
hku1905,6,628530,-0.3,negative,-0.4,negative,39
hku1905,28,894466,-8.2,negative,-2,negative,33
hku1905,34,379762,-5.7,negative,0.2,positive,32
hku1905,3,108750,-8.9,negative,-8.9,negative,41
hku1905,22,1119018,0.2,positive,2,positive,36
hku1905,5,40638,9.1,positive,0.2,positive,34
hku1905,10,1180823,8.9,positive,7.8,positive,33
hku1905,37,519565,2.1,positive,6.6,positive,34
hku1905,20,25385,9.7,positive,2.1,positive,38
hku1905,15,415050,3.3,positive,7.9,positive,38
hku1905,23,167335,9.5,positive,0.3,positive,35
hku1905,8,380614,7.6,positive,3.6,positive,36
hku1905,16,18229,-8.9,negative,-1.6,negative,32
hku1905,7,154270,-8.8,negative,-8.6,negative,57
hku1905,1,707297,7.2,positive,-5.4,negative,68
hku1905,14,1165401,9,positive,5.1,positive,33
hku1905,32,1077690,-0.4,negative,0.7,positive,55
hku1905,38,415083,0.2,positive,-3,negative,35
hku1905,0,186597,-6.7,negative,-7.8,negative,75
hku1905,29,1119024,1.8,positive,4.6,positive,38
hku1905,26,575857,-8.5,negative,-6.9,negative,44
hku1905,30,1119018,1.7,positive,0.6,positive,32
hku1905,35,380615,7.8,positive,6.7,positive,39
hku1905,31,402053,5.4,positive,-0.6,negative,72
hku1905,11,457516,8.6,positive,5.9,positive,91
hku1905,18,975624,-4.5,negative,-0.3,negative,102
hku1905,33,1215510,9.4,positive,0,neutral,65
hku1905,19,1000086,8.4,positive,0.2,positive,36
hku1905,21,585838,8.2,positive,1.7,positive,39
hku1905,2,1092623,6.9,positive,7.5,positive,67
hku1905,13,33824,9.5,positive,2,positive,42
hku1905,9,388281,8.3,positive,7.9,positive,33
hku1905,36,1150787,-8.9,negative,-5.7,negative,37
hku1905,12,48979,9,positive,0.2,positive,52
hku1932,6,1000086,-3.7,negative,-1.7,negative,45
hku1932,10,1213843,1.6,positive,1,positive,81
hku1932,18,1189615,9.3,positive,8.9,positive,83
hku1932,13,586041,4.3,positive,6.2,positive,59
hku1932,15,149750,6.5,positive,8.7,positive,57
hku1932,1,1071844,4.3,positive,1.5,positive,49
hku1932,16,519565,6.3,positive,-1.8,negative,52
hku1932,5,983415,5.9,positive,5.3,positive,63
hku1932,0,989827,-7,negative,3.1,positive,122
hku1932,4,1119018,5.6,positive,3.4,positive,40
hku1932,22,440863,8.1,positive,9.4,positive,61
hku1932,7,370416,7.1,positive,2.6,positive,42
hku1932,3,112533,-2.3,negative,1.1,positive,41
hku1932,23,546115,9.2,positive,9.1,positive,34
hku1932,19,1189603,9.6,positive,8.9,positive,62
hku1932,24,189707,-3.3,negative,-0.8,negative,40
hku1932,8,1077690,4,positive,1.4,positive,47
hku1932,21,285621,-3.7,negative,-0.8,negative,53
hku1932,17,295099,0.6,positive,-8.8,negative,65
hku1932,11,585838,1.4,positive,-0.6,negative,60
hku1932,12,1215266,3.6,positive,2.9,positive,45
hku1932,2,458245,-1.1,negative,-0.8,negative,44
hku1932,20,23105,4.4,positive,3.2,positive,60
hku1932,14,48979,-3.9,negative,-3,negative,41
hku1932,9,405924,8,positive,8.1,positive,41
hku1932,25,73987,0,neutral,0.1,positive,329
hku1903,30,1028450,-6.1,negative,2.8,positive,43
hku1903,8,262957,5.1,positive,5.8,positive,32
hku1903,16,1119018,5.8,positive,3,positive,35
hku1903,0,262957,7.4,positive,6,positive,147
hku1903,13,312686,0.8,positive,1,positive,31
hku1903,2,1094515,-6.2,negative,-4.4,negative,46
hku1903,1,1071844,-1,negative,-3.9,negative,61
hku1903,29,1063450,-3,negative,-3,negative,41
hku1903,10,645874,2.5,positive,8,positive,32
hku1903,5,1167225,2.3,positive,-4.3,negative,58
hku1903,28,925790,5,positive,7.8,positive,49
hku1903,24,905173,5.7,positive,7.7,positive,40
hku1903,14,523360,-1.8,negative,-1.5,negative,56
hku1903,6,187045,4.8,positive,5.4,positive,45
hku1903,22,414342,6.5,positive,-7.9,negative,79
hku1903,9,737755,6.4,positive,7.4,positive,51
hku1903,15,1077690,-1.6,negative,1.7,positive,30
hku1903,17,975624,6.6,positive,1.7,positive,31
hku1903,26,1220730,-3.3,negative,6.6,positive,32
hku1903,23,1125420,5.1,positive,-7.6,negative,91
hku1903,12,1119022,7,positive,6.1,positive,35
hku1903,20,950932,6.6,positive,-8,negative,31
hku1903,27,140531,7,positive,8.1,positive,37
hku1903,7,1083659,6.1,positive,2,positive,64
hku1903,18,28197,-7.4,negative,1.3,positive,31
hku1903,21,958343,-2.9,negative,-5.8,negative,33
hku1903,3,519565,2.2,positive,2,positive,39
hku1903,25,905175,3.6,positive,8.2,positive,29
hku1903,11,959968,1.1,positive,1.9,positive,32
hku1903,19,1167541,8,positive,-5,negative,61
hku1903,4,1130631,-3,negative,2.2,positive,45
hku1904,19,1165401,3.7,positive,2.4,positive,37
hku1904,6,950929,3.8,positive,-2.3,negative,47
hku1904,27,1221997,-2,negative,-2.2,negative,44
hku1904,25,1194595,-1.8,negative,3.2,positive,50
hku1904,31,1209516,-4.5,negative,-2.6,negative,69
hku1904,13,73993,2.2,positive,2.6,positive,37
hku1904,12,240147,2.9,positive,2.8,positive,35
hku1904,21,1119018,2.2,positive,2.6,positive,54
hku1904,5,379380,-1.2,negative,3.5,positive,47
hku1904,4,1119018,1.7,positive,3.8,positive,61
hku1904,34,169047,-2.6,negative,2.6,positive,46
hku1904,22,1209703,-3.4,negative,3.4,positive,39
hku1904,23,1000086,3.8,positive,-2.2,negative,75
hku1904,32,1078430,2.4,positive,-2.2,negative,56
hku1904,14,1214515,-5.8,negative,-1.2,negative,34
hku1904,20,1077690,2.4,positive,2.2,positive,54
hku1904,2,950932,3.5,positive,-2.8,negative,85
hku1904,7,461018,-2.8,negative,-2.6,negative,33
hku1904,18,945196,-2.2,negative,2.4,positive,38
hku1904,10,1189615,-1.8,negative,2.9,positive,68
hku1904,30,1215266,5,positive,-2.2,negative,42
hku1904,33,285614,2.8,positive,2.3,positive,37
hku1904,29,552655,6.3,positive,-3.1,negative,57
hku1904,28,1126452,-4.8,negative,-3.4,negative,50
hku1904,9,1122162,-3,negative,-1.9,negative,36
hku1904,3,1215510,0.6,positive,-2.9,negative,98
hku1904,16,170001,3.3,positive,2.9,positive,86
hku1904,24,25385,1.7,positive,-1.7,negative,54
hku1904,1,1070214,-4.3,negative,-5,negative,52
hku1904,8,489231,2.2,positive,-2.4,negative,42
hku1904,15,47397,2.6,positive,2.4,positive,42
hku1904,26,17617,-3.2,negative,-1.8,negative,47
hku1904,17,5089,2.8,positive,-2.6,negative,37
hku1904,11,1025722,-2.2,negative,1.3,positive,38
hku1904,0,1240700,-3,negative,-2.5,negative,51
hku1922,26,159061,6,positive,3.6,positive,34
hku1922,33,284239,5.2,positive,-4.9,negative,34
hku1922,17,1130631,5.8,positive,7.5,positive,110
hku1922,6,1168273,-2.4,negative,3.1,positive,46
hku1922,27,1057689,7.1,positive,7.3,positive,38
hku1922,14,405924,8.1,positive,-9.3,negative,38
hku1922,8,983415,-1.4,negative,1,positive,34
hku1922,29,950932,4.2,positive,-5.4,negative,49
hku1922,18,77933,-4.8,negative,-3,negative,38
hku1922,30,48979,3.5,positive,-2.2,negative,37
hku1922,21,1180823,3.6,positive,2.9,positive,34
hku1922,15,1214580,7.7,positive,-8.6,negative,33
hku1922,28,379762,3.1,positive,-2,negative,38
hku1922,13,25227,8.5,positive,-7,negative,47
hku1922,4,1101043,2,positive,1.8,positive,46
hku1922,1,214013,6.2,positive,-0.5,negative,182
hku1922,0,415106,-6.1,negative,3.3,positive,110
hku1922,12,950929,8.8,positive,-9,negative,37
hku1922,22,1189615,6,positive,8,positive,32
hku1922,32,334661,7.3,positive,-7.1,negative,34
hku1922,10,1070102,2.8,positive,-3,negative,50
hku1922,3,402053,-9.4,negative,-8.2,negative,67
hku1922,11,379762,2.8,positive,-2.9,negative,37
hku1922,24,1112095,-4.3,negative,-4.5,negative,50
hku1922,20,84030,3.2,positive,2.6,positive,43
hku1922,31,377456,5.1,positive,-4.9,negative,45
hku1922,5,1197618,-0.9,negative,-0.7,negative,65
hku1922,7,1143656,6.5,positive,-7.7,negative,43
hku1922,9,1119811,-0.9,negative,-1.1,negative,33
hku1922,19,1118590,-5,negative,-4.6,negative,48
hku1922,2,1070102,-3.1,negative,-5.4,negative,73
hku1922,23,247818,-8.5,negative,-6.6,negative,31
hku1922,16,703613,4.7,positive,4.7,positive,46
hku1922,25,1107251,6.8,positive,6.7,positive,33
hku1925,7,359169,0.9,positive,-0.7,negative,60
hku1925,19,1230727,-7.9,negative,-7.4,negative,33
hku1925,15,277414,-4.5,negative,4.8,positive,36
hku1925,22,461015,6,positive,5.1,positive,38
